time_ms,phase,pwm,volume_raw,bass_raw,treble_raw,balance_raw,volume_filtered,bass_filtered,treble_filtered,balance_filtered
36268,A,217,951,2034,2079,2021,959,2042,2086,2026
36368,A,217,966,2045,2093,2029,958,2038,2083,2022
36468,A,217,966,2043,2094,2031,965,2046,2091,2031
36568,A,217,966,2046,2091,2029,965,2046,2091,2029
36668,A,217,966,2046,2095,2031,964,2046,2092,2031
36768,A,217,965,2043,2093,2027,964,2043,2091,2028
36868,A,217,965,2045,2094,2032,962,2043,2089,2027
36968,A,217,962,2046,2089,2030,964,2046,2089,2030
37068,A,217,961,2043,2089,2028,962,2044,2089,2029
37168,A,217,963,2045,2094,2032,963,2045,2091,2031
37268,A,217,962,2044,2092,2032,963,2045,2092,2032
37368,A,217,963,2045,2090,2030,963,2045,2092,2030
37468,A,217,964,2045,2093,2029,964,2045,2093,2031
37568,A,217,964,2047,2094,2031,962,2044,2089,2028
37668,A,217,965,2039,2086,2027,965,2044,2090,2030
37768,A,217,963,2047,2095,2031,963,2046,2092,2030
37868,A,217,965,2046,2095,2030,962,2046,2090,2030
37968,A,217,964,2043,2091,2029,964,2044,2091,2030
38068,A,217,963,2042,2087,2032,963,2043,2089,2030
38168,A,217,967,2047,2092,2032,963,2045,2090,2030
38268,A,217,963,2046,2094,2031,965,2046,2094,2031
38368,A,217,963,2039,2091,2029,963,2045,2091,2030
38468,A,217,951,2035,2075,2019,961,2043,2088,2027
38568,A,217,966,2046,2091,2030,964,2046,2091,2030
38668,A,217,963,2046,2090,2031,963,2044,2090,2029
38768,A,217,951,2032,2081,2018,962,2044,2090,2030
38868,A,217,964,2046,2094,2030,964,2046,2094,2031
38968,A,217,964,2043,2091,2032,964,2044,2091,2031
39068,A,217,956,2036,2081,2019,962,2040,2089,2026
39168,A,217,963,2047,2093,2032,963,2044,2092,2031
39268,A,217,963,2044,2087,2029,963,2045,2091,2030
39368,A,217,963,2044,2091,2027,964,2044,2091,2030
39468,A,217,964,2047,2092,2030,964,2046,2092,2030
39568,A,217,966,2043,2093,2028,965,2043,2091,2028
39668,A,217,963,2047,2093,2031,963,2043,2091,2029
39768,A,217,965,2043,2091,2031,964,2044,2091,2031
39868,A,217,966,2042,2092,2031,966,2045,2092,2031
39968,A,217,965,2045,2091,2027,964,2045,2091,2027
40068,A,217,965,2045,2091,2032,965,2044,2091,2030
40168,A,217,964,2045,2094,2031,964,2045,2094,2030
40268,A,217,963,2045,2087,2026,963,2045,2090,2030
40368,A,217,963,2043,2091,2028,963,2043,2091,2029
40468,A,217,965,2046,2092,2030,965,2046,2092,2030
40568,A,217,965,2043,2093,2031,963,2044,2092,2031
40668,A,217,963,2046,2093,2029,964,2046,2093,2030
40768,A,217,964,2043,2090,2031,964,2045,2090,2031
